train_size,neg_score_cutoff,extra_dft,r2,rmse,bias_factor,max_error,time_saved,n_feature,train_dx,algo
500,-3.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-3.25,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.0,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-2.75,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-2.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.25,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.0,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-2.75,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-2.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-3.25,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-3.0,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-2.75,0,-186.2642,195.7541,-2496.1332,-3.6696,559.066,4,False,min
500,-2.5,0,-186.2642,195.7541,-2496.1332,-3.6696,559.0659,4,False,min
500,-3.5,4,0.3358,0.691,-125.5872,0.3117,564.0769,16,False,min
500,-3.25,4,0.5207,0.5006,-80.3961,0.5367,564.0553,16,False,min
500,-3.0,5,0.5026,0.5205,-104.7845,0.3117,564.9551,16,False,min
500,-2.75,6,0.432,0.5931,-92.8624,0.3566,566.0476,16,False,min
500,-2.5,8,0.6853,0.3305,-54.7525,0.4299,567.2978,16,False,min
500,-3.5,2,0.5667,0.4533,-76.0961,0.3551,561.4635,22,False,min
500,-3.25,3,0.5639,0.4574,-90.6401,0.3567,562.524,22,False,min
500,-3.0,4,0.5939,0.4241,-28.7915,0.649,563.8629,22,False,min
500,-2.75,4,0.6585,0.3587,-35.9402,0.5084,563.8552,22,False,min
500,-2.5,5,0.8282,0.1803,-11.1411,0.4526,564.8235,22,False,min
500,-3.5,2,0.8365,0.1714,-52.1954,0.218,561.3255,34,False,min
500,-3.25,2,0.8495,0.1575,-44.2995,0.2091,561.4461,34,False,min
500,-3.0,3,0.8611,0.1449,-39.5689,0.2676,562.4988,34,False,min
500,-2.75,3,0.8889,0.1163,-38.4965,0.2131,562.4053,34,False,min
500,-2.5,5,0.8063,0.2019,-56.1241,0.2087,564.9173,34,False,min
500,-3.5,1,0.8739,0.1318,-37.4563,0.2141,560.2739,40,False,min
500,-3.25,1,0.6959,0.3185,-69.4712,0.206,560.4127,40,False,min
500,-3.0,2,0.8726,0.1325,-38.9318,0.2289,561.4568,40,False,min
500,-2.75,3,0.8982,0.1065,-8.2672,0.3875,562.2662,40,False,min
500,-2.5,4,0.7118,0.303,-60.3596,0.2285,563.674,40,False,min
500,-3.5,0,0.9332,0.0698,-3.4688,0.3418,559.0661,52,False,min
500,-3.25,1,0.9323,0.0707,-7.2522,0.3418,560.2739,52,False,min
500,-3.0,2,0.9346,0.0686,-14.707,0.2596,560.1528,52,False,min
500,-2.75,3,0.9075,0.0971,2.7733,0.393,562.3954,52,False,min
500,-2.5,4,0.915,0.0891,-25.6762,0.2612,561.343,52,False,min
500,-3.5,0,0.8985,0.1061,28.7595,0.4366,559.0661,70,False,min
500,-3.25,1,0.9184,0.0854,18.4804,0.4366,559.0661,70,False,min
500,-3.0,1,0.9327,0.0705,14.1171,0.3227,560.348,70,False,min
500,-2.75,2,0.7488,0.2636,43.9458,0.4934,561.2271,70,False,min
500,-2.5,4,0.9308,0.0717,-22.0292,0.2464,563.0007,70,False,min
500,-3.5,0,0.9246,0.0788,6.6069,0.3694,559.0661,94,False,min
500,-3.25,0,0.9246,0.0788,6.6069,0.3694,559.0661,94,False,min
500,-3.0,1,0.9384,0.0644,-7.7366,0.2902,560.1528,94,False,min
500,-2.75,3,0.9199,0.0833,-1.8297,0.3299,562.8944,94,False,min
500,-2.5,4,0.8818,0.1228,-15.4413,0.2893,561.6855,94,False,min
500,-3.5,0,0.9247,0.0788,6.5767,0.3693,559.066,112,False,min
500,-3.25,0,0.9247,0.0788,6.5767,0.3693,559.0661,112,False,min
500,-3.0,1,0.7703,0.2406,-40.1951,0.2574,560.4126,112,False,min
500,-2.75,2,0.9274,0.0758,-23.8912,0.2279,561.5308,112,False,min
500,-2.5,2,0.9151,0.0887,-31.3575,0.22,560.2948,112,False,min
